count,rrname,time_interval,rrname_label,bailiwick_label,rdata_count,label
222,0-kgame.com.,355,0,0,1,0
175,0-kgame.com.,361,0,0,1,0
20,0-kgame.com.,19,0,0,1,0
1038,001-design.com.,2323,1,1,1,0
5,001-design.com.,14,1,1,1,0
372,001chuantai.com.,1609,2,2,1,0
4,001chuantai.com.,1,2,2,1,0
4,001piao.com.,192,3,3,1,0
35,001piao.com.,183,3,3,1,0
3,001piao.com.,13,3,3,1,0
146,001piao.com.,477,3,3,1,0
138,001piao.com.,192,3,3,1,0
10,001piao.com.,570,3,3,1,0
1310,001piao.com.,1934,3,3,1,0
32,001shentu.com.,59,4,4,1,0
71,001shentu.com.,442,4,4,1,0
19,001shentu.com.,48,4,4,1,0
231,001shentu.com.,302,4,4,1,0
154,001shentu.com.,420,4,4,1,0
1,0039italia.com.,0,5,5,1,0
3,0039italia.com.,1,5,5,1,0
843,0039italia.com.,1433,5,5,1,0
5,0039italia.com.,2,5,5,1,0
4,0039italia.com.,0,5,5,1,0
31,0039italia.com.,154,5,5,1,0
79,0039italia.com.,126,5,5,1,0
1,0039italia.com.,0,5,5,1,0
2,0039italia.com.,20,5,5,1,0
33,0039italia.com.,92,5,5,1,0
1016,007amzhentan.com.,2624,6,6,1,0
2,007amzhentan.com.,0,6,6,2,0
50,007amzhentan.com.,74,6,6,1,0
189,007jiafen.com.,537,7,7,1,0
88,007jieshaohuo.com.,145,8,8,1,0
215,007jieshaohuo.com.,594,8,8,1,0
359,007jieshaohuo.com.,529,8,8,1,0
423,007jieshaohuo.com.,794,8,8,1,0
9,007jieshaohuo.com.,23,8,8,1,0
51,007jieshaohuo.com.,577,8,8,1,0
822,007wangluo.com.,1529,9,9,1,0
2,00pin.com.,0,10,10,1,0
14,00pin.com.,32,10,10,1,0
7,00pin.com.,33,10,10,1,0
366,00pin.com.,923,10,10,1,0
6,00pin.com.,168,10,10,1,0
171,00tuan.cn.,1269,11,11,1,1
989,01-cloud.com.,2211,12,12,1,0
6,01-design.com.cn.,211,13,13,1,0
2447,01-design.com.cn.,2819,13,13,1,0
736,010-erbohui.com.,1413,14,14,1,0
703,010-hunbohui.com.,1392,15,15,1,0
6,010-running.com.,107,16,16,1,0
6,010-running.com.,466,16,16,1,0
3,010-running.com.,1,16,16,3,0
11,010-running.com.,21,16,16,1,0
881,010-running.com.,1307,16,16,1,0
869,0101jiaoyu.com.,1566,17,17,1,0
43,0101jiaoyu.com.,65,17,17,1,0
83,010dental.com.,176,18,18,1,1
238,010dental.com.,630,18,18,1,1
15,010dental.com.,55,18,18,1,1
1892,010ditan.cn.,3430,19,19,1,0
1,010ditan.cn.,0,19,19,1,0
69,010mail.net.,143,20,20,1,0
1261,010mail.net.,2121,20,20,1,0
273,010mail.net.,588,20,20,1,0
5,010mail.net.,1,20,20,1,0
92,010qutuanjian.com.,42,21,21,2,0
27,010qutuanjian.com.,35,21,21,1,0
13,010qutuanjian.com.,10,21,21,1,0
190,010qutuanjian.com.,441,21,21,1,0
248,010qutuanjian.com.,362,21,21,1,0
544,010qutuanjian.com.,807,21,21,1,0
975,010rszhentan.com.,1848,22,22,1,0
100,010rszhentan.com.,221,22,22,1,0
21,010sdent.com.,15,23,23,1,0
835,010sdent.com.,1572,23,23,1,0
209,010wuguan.com.,709,24,24,1,0
133,010wuguan.com.,363,24,24,1,0
421,010wuguan.com.,651,24,24,1,0
8,012weizan.com.,4,25,25,1,1
23,012weizan.com.,231,25,25,1,1
634,012weizan.com.,1238,25,25,1,1
52,012weizan.com.,57,25,25,1,1
102,012weizan.com.,229,25,25,1,1
18,012weizan.com.,99,25,25,1,1
27,012weizan.com.,63,25,25,1,1
134,01chain.com.,401,26,26,1,0
371,01chain.com.,663,26,26,1,0
74,01chain.com.,381,26,26,1,0
2,01chain.com.,0,26,26,1,0
1,01demo.com.,0,27,27,1,0
125,01demo.com.,594,27,27,1,0
3,01demo.com.,0,27,27,1,0
6,01demo.com.,2,27,27,1,0
1186,01demo.com.,2215,27,27,1,0
2,01demo.com.,0,27,27,1,0
204,01fan.com.,456,28,28,1,0
10,01fan.com.,0,28,28,1,0
5,01fan.com.,49,28,28,1,0
10,01fan.com.,46,28,28,1,0
84,01fan.com.,538,28,28,1,0
4,01fan.com.,14,28,28,1,0
11,01fan.com.,106,28,28,1,0
343,01fan.com.,717,28,28,1,0
289,01fan.com.,694,28,28,1,0
564,01fan.com.,943,28,28,1,0
3,01fan.com.,2,28,28,1,0
31,01fan.com.,356,28,28,1,0
157,01game.cn.,470,29,29,1,0
947,01game.cn.,1873,29,29,1,0
293,01gua.com.,676,30,30,1,0
3,01gua.com.,26,30,30,1,0
2,01hua.com.,2,31,31,1,0
1152,01hua.com.,1415,31,31,1,0
527,01hua.com.,1026,31,31,1,0
70,01hua.com.,160,31,31,1,0
334,01hua.com.,498,31,31,1,0
438,01jiaju.com.cn.,2115,32,32,1,0
25,01jiaju.com.cn.,39,32,32,1,0
11,01jiaju.com.cn.,42,32,32,1,0
48,01jiaju.com.cn.,193,32,32,1,0
2,01jiaju.com.cn.,7,32,32,1,0
6,01jiaju.com.cn.,48,32,32,1,0
1520,01miao.com.,3454,33,33,1,0
16,01more.com.,32,34,34,1,0
976,01more.com.,1880,34,34,1,0
3,01more.com.,215,34,34,1,0
4,01more.com.,80,34,34,1,0
21,01pin.cn.,17,35,35,1,1
83,01pin.cn.,157,35,35,1,1
411,01pin.cn.,1864,35,35,1,1
133,01qingtan.com.,272,36,36,1,1
1259,01qingtan.com.,1405,36,36,1,1
20,01snail.com.,55,37,37,1,1
267,01software.net.,528,38,38,1,0
4,01software.net.,1,38,38,1,0
230,01software.net.,2286,38,38,1,0
751,01software.net.,1250,38,38,1,0
77,01software.net.,63,38,38,1,0
93,01software.net.,109,38,38,1,0
33,01software.net.,76,38,38,1,0
13,01software.net.,12,38,38,1,0
7,01times.com.,9,39,39,1,0
1,01times.com.,0,39,39,1,0
1,01times.com.,0,39,39,1,0
524,01times.com.,1055,39,39,1,0
2,01times.com.,0,39,39,1,0
29,01times.com.,80,39,39,1,0
58,01times.com.,82,39,39,1,0
693,01times.com.,1231,39,39,1,0
1112,01wulian.com.,1956,40,40,1,0
8,01wulian.com.,364,40,40,1,0
522,01yue.com.,1041,41,41,1,0
103,01yue.com.,142,41,41,1,0
61,01yue.com.,353,41,41,1,0
430,01yue.com.,947,41,41,1,0
1402,01zhizuan.com.,2262,42,42,1,0
7,01zhizuan.com.,2,42,42,1,0
644,020-erbohui.com.,1377,43,43,1,0
4,020-erbohui.com.,29,43,43,1,0
676,020-hunbohui.com.,1390,44,44,1,0
592,020-jiabohui.com.,1311,45,45,1,0
713,020-studio.com.,1455,46,46,1,0
280,020-studio.com.,802,46,46,1,0
251,020anjing.com.,591,47,47,1,0
4,020anjing.com.,1,47,47,1,0
10,020anjing.com.,5,47,47,1,0
580,020anjing.com.,1712,47,47,1,0
2,020anjing.com.,0,47,47,1,0
957,020anjing.com.,1267,47,47,1,0
141,020buyer.com.,417,48,48,1,0
142,020buyer.com.,204,48,48,1,0
14,020buyer.com.,11,48,48,1,0
694,020buyer.com.,1219,48,48,1,0
288,020buyer.com.,731,48,48,1,0
73,020chaoyu.com.,332,49,49,1,1
1891,020chaoyu.com.,2443,49,49,1,1
17,020chaoyu.com.,422,49,49,1,1
74,020chaoyu.com.,26,49,49,1,1
2,020chaoyu.com.,0,49,49,2,1
2,020chun.com.,0,50,50,1,0
17,020chun.com.,67,50,50,1,0
473,020geyin.com.,1039,51,51,1,0
6,020geyin.com.,19,51,51,1,0
535,020gyedu.com.,757,52,52,1,0
217,020gyedu.com.,708,52,52,1,0
703,020gyedu.com.,1019,52,52,1,0
6,020jiachang.com.,2,53,53,1,0
181,020jiachang.com.,276,53,53,1,0
46,020jiachang.com.,188,53,53,1,0
28,020jiachang.com.,91,53,53,1,0
769,020jiachang.com.,1393,53,53,1,0
33,020jiachang.com.,77,53,53,1,0
47,020jiachang.com.,59,53,53,1,0
4,020jiehun.com.,0,54,54,1,0
5,020jiehun.com.,4,54,54,1,0
1,020jiehun.com.,0,54,54,1,0
342,020kouqiang.cn.,462,55,55,1,0
653,020kouqiang.cn.,1196,55,55,1,0
169,020kouqiang.cn.,625,55,55,1,0
210,020kouqiang.net.,468,56,56,1,0
831,020kouqiang.net.,1213,56,56,1,0
185,020kouqiang.net.,656,56,56,1,0
178,020kouqiangke.com.,466,57,57,1,0
800,020kouqiangke.com.,1210,57,57,1,0
141,020kouqiangke.com.,630,57,57,1,0
1255,020manyi.com.,3511,58,58,1,0
23,020orange.com.,51,59,59,1,0
2,020orange.com.,0,59,59,2,0
26,020orange.com.,70,59,59,1,0
145,020orange.com.,325,59,59,1,0
206,020qingyun.com.,193,60,60,2,0
147,020qingyun.com.,332,60,60,2,0
67,020qingyun.com.,256,60,60,1,0
1423,020qingyun.com.,2078,60,60,1,0
1750,020shiming.cn.,2824,61,61,1,0
29,020shiming.cn.,58,61,61,1,0
2,020shiming.cn.,69,61,61,1,0
270,020taijik.com.,721,62,62,1,0
769,020taijik.com.,1460,62,62,1,0
32,020taijik.com.,56,62,62,1,0
757,020wenyi.com.,782,63,63,1,0
620,020wenyi.com.,1134,63,63,1,0
5,020youqi.com.,0,64,64,1,0
18,020youqi.com.,37,64,64,1,0
1439,020youqi.com.,2931,64,64,1,0
27,020zhenying.com.,41,65,65,1,0
620,020ziqiang.com.,973,66,66,1,0
125,020ziqiang.com.,174,66,66,1,0
90,020ziqiang.com.,384,66,66,1,0
