,0,1,2,3
0,Give,VB,ROOT,0
1,me,PRP,dative,0
2,all,DT,det,0
3,cosmonauts,NNS,dobj,1
4,In,IN,prep,0
5,which,WDT,det,0
6,country,NN,pcomp,1
7,does,VBZ,aux,0
8,the,DT,det,0
9,Ganges,NNPS,nsubj,1
10,start,VB,ROOT,1
11,When,WRB,advmod,0
12,is,VBZ,ROOT,0
13,the,DT,det,1
14,movie,NN,nsubj,1
15,Worst,NNP,compound,1
16,Case,NNP,compound,1
17,Scenario,NNP,nsubj,1
18,going,VBG,relcl,0
19,to,TO,aux,0
20,be,VB,xcomp,0
21,in,IN,prep,1
22,cinemas,NNS,pobj,0
23,in,IN,prep,1
24,the,DT,det,1
25,Netherlands,NNP,pobj,1
26,Which,WDT,det,0
27,German,JJ,amod,1
28,cities,NNS,nsubj,0
29,have,VBP,ROOT,0
30,more,JJR,amod,1
31,than,IN,quantmod,1
32,250000,CD,nummod,1
33,inhabitants,NNS,dobj,1
34,Who,WP,attr,0
35,was,VBD,ROOT,0
36,John,NNP,compound,1
37,Kennedy,NNP,poss,1
38,'s,POS,case,0
39,vice,NN,compound,1
40,president,NN,attr,1
41,Who,WP,attr,0
42,is,VBZ,ROOT,0
43,the,DT,det,0
44,mayor,NN,attr,1
45,of,IN,prep,0
46,Berlin,NNP,pobj,1
47,How,WRB,advmod,0
48,many,JJ,amod,0
49,students,NNS,nsubj,1
50,does,VBZ,aux,0
51,the,DT,det,0
52,Free,NNP,compound,1
53,University,NNP,nsubj,1
54,in,IN,prep,0
55,Amsterdam,NNP,pobj,1
56,have,VBP,ROOT,0
57,What,WP,attr,0
58,is,VBZ,ROOT,0
59,the,DT,det,0
60,second,JJ,amod,1
61,highest,JJS,amod,1
62,mountain,NN,nsubj,1
63,on,IN,prep,1
64,Earth,NNP,pobj,0
65,Give,VB,ROOT,0
66,me,PRP,dative,0
67,all,DT,det,0
68,professional,JJ,amod,1
69,skateboarders,NNS,dobj,0
70,from,IN,prep,0
71,Sweden,NNP,pobj,1
72,When,WRB,advmod,0
73,was,VBD,auxpass,0
74,Alberta,NNP,nsubj,1
75,admitted,VBD,ROOT,0
76,as,IN,prep,0
77,province,NN,pobj,1
78,To,TO,prep,0
79,which,WDT,det,0
80,countries,NNS,nsubj,0
81,does,VBZ,aux,0
82,the,DT,det,0
83,Himalayan,JJ,compound,1
84,mountain,NN,compound,1
85,system,NN,nsubj,1
86,extend,VB,ROOT,1
87,Give,VB,ROOT,0
88,me,PRP,dative,0
89,list,NN,dobj,0
90,of,IN,prep,0
91,all,DT,det,0
92,bandleaders,NNS,pobj,0
93,that,WDT,nsubj,0
94,play,VBP,relcl,1
95,trumpet,NN,dobj,1
96,Which,WDT,det,0
97,countries,NNS,nsubj,0
98,have,VBP,ROOT,0
99,more,JJR,amod,1
100,than,IN,quantmod,1
101,ten,CD,nummod,1
102,caves,NNS,dobj,0
103,What,WP,attr,0
104,is,VBZ,ROOT,0
105,the,DT,det,0
106,total,JJ,amod,1
107,amount,NN,nsubj,1
108,of,IN,prep,0
109,men,NNS,pobj,1
110,and,CC,cc,0
111,women,NNS,conj,1
112,serving,VBG,acl,0
113,in,IN,prep,0
114,the,DT,det,0
115,FDNY,NNP,pobj,1
116,Who,WP,nsubj,0
117,produces,VBZ,ROOT,0
118,Orangina,NNP,dobj,1
119,Who,WP,attr,0
120,is,VBZ,ROOT,0
121,the,DT,det,0
122,Formula,NNP,nmod,1
123,race,NN,compound,1
124,driver,NN,nsubj,1
125,with,IN,prep,0
126,the,DT,det,0
127,most,JJS,amod,1
128,races,NNS,pobj,1
129,Give,VB,ROOT,0
130,me,PRP,dative,0
131,all,DT,det,0
132,world,NN,compound,1
133,heritage,NN,compound,1
134,sites,NNS,dobj,0
135,designated,VBN,acl,0
136,within,IN,prep,0
137,the,DT,det,0
138,past,JJ,amod,1
139,two,CD,nummod,1
140,years,NNS,pobj,1
141,Who,WP,attr,0
142,is,VBZ,ROOT,0
143,the,DT,det,0
144,youngest,JJS,amod,1
145,player,NN,attr,1
146,in,IN,prep,0
147,the,DT,det,0
148,Premier,NNP,compound,1
149,League,NNP,pobj,1
150,Give,VB,ROOT,0
151,me,PRP,dative,1
152,all,DT,det,0
153,members,NNS,dobj,0
154,of,IN,prep,0
155,Prodigy,NNP,pobj,1
156,What,WP,attr,0
157,is,VBZ,ROOT,0
158,the,DT,det,0
159,longest,JJS,amod,1
160,river,NN,nsubj,1
161,Does,VBZ,aux,0
162,Breaking,VBG,compound,1
163,Bad,NNP,nsubj,1
164,have,VB,ROOT,0
165,more,JJR,amod,1
166,episodes,NNS,dobj,1
167,than,IN,prep,1
168,Game,NNP,pobj,1
169,of,IN,prep,1
170,Thrones,NNP,pobj,1
171,Give,VB,ROOT,0
172,me,PRP,dative,0
173,all,DT,det,0
174,cars,NNS,dobj,0
175,that,WDT,nsubjpass,0
176,are,VBP,auxpass,0
177,produced,VBN,relcl,0
178,in,IN,prep,0
179,Germany,NNP,pobj,1
180,What,WP,attr,0
181,were,VBD,ROOT,0
182,the,DT,det,0
183,main,JJ,amod,1
184,discoveries,NNS,nsubj,1
185,of,IN,prep,0
186,the,DT,det,0
187,Mars,NNP,compound,1
188,rover,NN,compound,1
189,Curiosity,NNP,pobj,1
190,Give,VB,ROOT,0
191,me,PRP,dative,0
192,all,DT,det,0
193,people,NNS,dobj,1
194,that,WDT,nsubjpass,0
195,were,VBD,auxpass,0
196,born,VBN,relcl,1
197,in,IN,prep,1
198,Vienna,NNP,pobj,1
199,and,CC,cc,0
200,died,VBD,conj,0
201,in,IN,prep,1
202,Berlin,NNP,pobj,1
203,Is,VBZ,ROOT,0
204,proinsulin,VB,nsubj,1
205,protein,NN,attr,1
206,How,WRB,advmod,0
207,tall,JJ,acomp,1
208,is,VBZ,ROOT,0
209,Michael,NNP,compound,1
210,Jordan,NNP,nsubj,1
211,What,WP,attr,0
212,is,VBZ,ROOT,0
213,the,DT,det,0
214,capital,NN,nsubj,1
215,of,IN,prep,0
216,Canada,NNP,pobj,1
217,Who,WP,attr,0
218,is,VBZ,ROOT,0
219,the,DT,det,0
220,governor,NN,attr,1
221,of,IN,prep,0
222,Wyoming,NNP,pobj,1
223,Do,VBP,aux,0
224,Prince,NNP,compound,1
225,Harry,NNP,nsubj,1
226,and,CC,cc,0
227,Prince,NNP,compound,1
228,William,NNP,conj,1
229,have,VB,ROOT,0
230,the,DT,det,0
231,same,JJ,amod,1
232,parents,NNS,dobj,1
233,Who,WP,attr,0
234,was,VBD,ROOT,0
235,the,DT,det,1
236,father,NN,attr,1
237,of,IN,prep,0
238,Queen,NNP,compound,1
239,Elizabeth,NNP,compound,1
240,II,NNP,pobj,1
241,Which,WDT,det,0
242,U.S,NNP,compound,1
243,state,NN,nsubjpass,1
244,has,VBZ,aux,0
245,been,VBN,auxpass,0
246,admitted,VBN,ROOT,0
247,latest,JJS,advmod,0
248,How,WRB,advmod,0
249,many,JJ,amod,0
250,languages,NNS,nsubjpass,1
251,are,VBP,auxpass,0
252,spoken,VBN,ROOT,0
253,in,IN,prep,0
254,Turkmenistan,NNP,pobj,1
255,Sean,NNP,compound,1
256,Parnell,NNP,nsubj,1
257,is,VBZ,ROOT,0
258,the,DT,det,0
259,governor,NN,attr,1
260,of,IN,prep,0
261,which,WDT,pobj,0
262,U.S,NNP,compound,1
263,state,NN,relcl,1
264,Give,VB,ROOT,0
265,me,PRP,dative,0
266,all,DT,det,0
267,movies,NNS,dobj,0
268,directed,VBN,acl,0
269,by,IN,agent,0
270,Francis,NNP,compound,1
271,Ford,NNP,compound,1
272,Coppola,NNP,pobj,1
273,Give,VB,ROOT,0
274,me,PRP,dative,0
275,all,DT,det,0
276,actors,NNS,dobj,0
277,starring,VBG,acl,1
278,in,IN,prep,1
279,movies,NNS,pobj,0
280,directed,VBN,acl,0
281,by,IN,agent,0
282,William,NNP,compound,1
283,Shatner,NNP,pobj,1
284,Are,VBP,aux,0
285,tree,NN,nsubj,1
286,frogs,NNS,ROOT,0
287,type,NN,dobj,0
288,of,IN,prep,0
289,amphibian,JJ,pobj,1
290,What,WP,attr,0
291,is,VBZ,ROOT,0
292,the,DT,det,0
293,birth,NN,compound,1
294,name,NN,nsubj,1
295,of,IN,prep,0
296,Angela,NNP,compound,1
297,Merkel,NNP,pobj,1
298,Give,VB,ROOT,0
299,me,PRP,dative,0
300,all,DT,det,0
301,Methodist,JJ,amod,1
302,politicians,NNS,dobj,0
303,How,WRB,advmod,0
304,often,RB,advmod,1
305,did,VBD,aux,0
306,Jane,NNP,compound,1
307,Fonda,NNP,nsubj,1
308,marry,VB,ROOT,1
309,Give,VB,ROOT,0
310,me,PRP,dative,0
311,all,DT,det,0
312,Australian,JJ,amod,0
313,nonprofit,JJ,amod,1
314,organizations,NNS,dobj,0
315,In,IN,prep,0
316,which,WDT,pobj,0
317,military,JJ,amod,1
318,conflicts,NNS,nsubj,0
319,did,VBD,aux,0
320,Lawrence,NNP,nsubj,1
321,of,IN,prep,1
322,Arabia,NNP,pobj,1
323,participate,VB,ROOT,0
324,Who,WP,nsubj,0
325,developed,VBD,ROOT,0
326,Minecraft,NNP,dobj,1
327,What,WP,attr,0
328,is,VBZ,ROOT,0
329,the,DT,det,0
330,melting,VBG,compound,1
331,point,NN,nsubj,1
332,of,IN,prep,0
333,copper,NN,pobj,1
334,Give,VB,ROOT,0
335,me,PRP,dative,0
336,all,DT,det,0
337,sister,NN,compound,1
338,cities,NNS,dobj,0
339,of,IN,prep,0
340,Brno,NNP,pobj,1
341,How,WRB,advmod,0
342,many,JJ,amod,0
343,inhabitants,NNS,dobj,1
344,does,VBZ,aux,0
345,Maribor,NNP,nsubj,1
346,have,VB,ROOT,0
347,Give,VB,ROOT,0
348,me,PRP,dative,0
349,all,DT,det,0
350,companies,NNS,dobj,0
351,in,IN,prep,0
352,Munich,NNP,pobj,1
353,How,WRB,advmod,0
354,tall,JJ,acomp,1
355,is,VBZ,ROOT,0
356,Claudia,NNP,compound,1
357,Schiffer,NNP,nsubj,1
358,List,VB,ROOT,0
359,all,DT,det,0
360,games,NNS,appos,0
361,by,IN,prep,0
362,GMT,NNP,pobj,1
363,Who,WP,nsubj,0
364,founded,VBD,ROOT,1
365,Intel,NNP,dobj,1
366,Who,WP,attr,0
367,is,VBZ,ROOT,0
368,the,DT,det,0
369,husband,NN,nsubj,1
370,of,IN,prep,0
371,Amanda,NNP,compound,1
372,Palmer,NNP,pobj,1
373,Give,VB,ROOT,0
374,me,PRP,dative,0
375,all,DT,det,0
376,breeds,NNS,dobj,0
377,of,IN,prep,0
378,the,DT,det,0
379,German,JJ,amod,1
380,Shepherd,NNP,compound,1
381,dog,NN,pobj,1
382,Which,WDT,det,0
383,cities,NNS,nsubj,0
384,does,VBZ,aux,0
385,the,DT,det,0
386,Weser,NNP,nsubj,1
387,flow,VB,ROOT,1
388,through,RB,prt,1
389,Which,WDT,det,0
390,countries,NNS,nsubjpass,0
391,are,VBP,auxpass,0
392,connected,VBN,ROOT,0
393,by,IN,agent,0
394,the,DT,det,0
395,Rhine,NNP,pobj,1
396,Which,WDT,det,0
397,professional,JJ,amod,1
398,surfers,NNS,nsubjpass,0
399,were,VBD,auxpass,0
400,born,VBN,ROOT,1
401,in,IN,prep,0
402,Australia,NNP,pobj,1
403,What,WP,attr,0
404,is,VBZ,ROOT,0
405,the,DT,det,0
406,average,JJ,amod,1
407,temperature,NN,nsubj,1
408,on,IN,prep,0
409,Hawaii,NNP,pobj,1
410,In,IN,prep,0
411,which,WDT,pobj,0
412,UK,NNP,compound,1
413,city,NN,nsubj,1
414,are,VBP,ROOT,0
415,the,DT,det,0
416,headquarters,NN,attr,1
417,of,IN,prep,0
418,the,DT,det,0
419,MI6,NN,pobj,1
420,Which,WDT,det,0
421,other,JJ,amod,0
422,weapons,NNS,nsubj,0
423,did,VBD,aux,0
424,the,DT,det,0
425,designer,NN,nsubj,1
426,of,IN,prep,0
427,the,DT,det,0
428,Uzi,NNP,pobj,1
429,develop,VB,ROOT,1
430,Who,WP,nsubj,0
431,created,VBD,ROOT,1
432,Goofy,NNP,dobj,1
433,Was,VBD,ROOT,0
434,the,DT,det,0
435,Cuban,NNP,compound,1
436,Missile,NNP,compound,1
437,Crisis,NNP,nsubj,1
438,earlier,RBR,advmod,1
439,than,IN,prep,0
440,the,DT,det,0
441,Bay,NNP,pobj,1
442,of,IN,prep,1
443,Pigs,NNP,compound,1
444,Invasion,NNP,pobj,1
445,Give,VB,ROOT,0
446,me,PRP,dative,0
447,all,DT,det,0
448,islands,NNS,dobj,1
449,that,WDT,nsubj,0
450,belong,VBP,relcl,0
451,to,IN,prep,0
452,Japan,NNP,pobj,1
453,Who,WP,nsubj,0
454,invented,VBD,ROOT,0
455,the,DT,det,0
456,zipper,NN,dobj,1
457,What,WP,attr,0
458,is,VBZ,ROOT,1
459,the,DT,det,0
460,ruling,VBG,amod,1
461,party,NN,nsubj,1
462,in,IN,prep,1
463,Lisbon,NNP,pobj,1
464,What,WP,attr,0
465,are,VBP,ROOT,0
466,the,DT,det,0
467,nicknames,NNS,nsubj,0
468,of,IN,prep,0
469,San,NNP,compound,1
470,Francisco,NNP,pobj,1
471,Which,WDT,dobj,0
472,Greek,NNP,nsubj,1
473,goddesses,VBZ,nsubj,0
474,dwelt,NN,ROOT,0
475,on,IN,prep,0
476,Mount,NNP,compound,1
477,Olympus,NNP,pobj,0
478,When,WRB,advmod,0
479,were,VBD,auxpass,0
480,the,DT,det,0
481,Hells,NNP,compound,1
482,Angels,NNPS,nsubj,1
483,founded,VBN,ROOT,1
484,Give,VB,ROOT,0
485,me,PRP,dative,0
486,all,DT,det,0
487,Apollo,NNP,dobj,1
488,14,CD,nummod,1
489,astronauts,NNS,npadvmod,0
490,What,WP,attr,0
491,is,VBZ,ROOT,0
492,the,DT,det,0
493,time,NN,compound,1
494,zone,NN,nsubj,1
495,of,IN,prep,0
496,Salt,NNP,compound,1
497,Lake,NNP,compound,1
498,City,NNP,pobj,1
499,Which,WDT,det,0
500,U.S,NNP,compound,1
501,states,NNS,nsubj,0
502,are,VBP,ROOT,0
503,in,IN,prep,0
504,the,DT,det,0
505,same,JJ,amod,1
506,time,NN,compound,1
507,zone,NN,pobj,1
508,as,IN,prep,0
509,Utah,NNP,pobj,1
510,Give,VB,ROOT,0
511,me,PRP,dative,0
512,the,DT,det,0
513,capitals,NNS,dobj,0
514,of,IN,prep,0
515,all,DT,det,0
516,countries,NNS,pobj,0
517,in,IN,prep,0
518,Africa,NNP,pobj,1
519,Give,VB,ROOT,0
520,me,PRP,dative,0
521,list,NN,dobj,0
522,of,IN,prep,0
523,all,DT,det,0
524,lakes,NNS,pobj,0
525,in,IN,prep,0
526,Denmark,NNP,pobj,1
527,How,WRB,advmod,0
528,many,JJ,amod,1
529,missions,NNS,dobj,0
530,does,VBZ,aux,0
531,the,DT,det,0
532,Soyuz,NNP,compound,1
533,programme,NN,nsubj,1
534,have,VB,ROOT,0
535,Did,VBD,aux,0
536,Socrates,NNP,nsubj,1
537,influence,VB,ROOT,1
538,Aristotle,NNP,dobj,1
539,Give,VB,ROOT,0
540,me,PRP,dative,0
541,all,DT,det,0
542,Danish,JJ,amod,0
543,movies,NNS,dobj,0
544,Give,VB,ROOT,0
545,me,PRP,dative,0
546,all,DT,det,0
547,launch,NN,compound,1
548,pads,NNS,dobj,0
549,operated,VBN,acl,0
550,by,IN,agent,0
551,NASA,NNP,pobj,1
552,Which,WDT,det,0
553,instruments,NNS,dobj,0
554,does,VBZ,aux,0
555,Cat,NNP,compound,1
556,Stevens,NNP,nsubj,1
557,play,VB,ROOT,0
558,Which,WDT,det,0
559,ships,NNS,nsubjpass,0
560,were,VBD,auxpass,0
561,called,VBN,ROOT,1
562,after,IN,prep,1
563,Benjamin,NNP,compound,1
564,Franklin,NNP,pobj,1
565,Who,WP,attr,0
566,are,VBP,ROOT,1
567,the,DT,det,0
568,parents,NNS,nsubj,1
569,of,IN,prep,0
570,the,DT,det,0
571,wife,NN,pobj,1
572,of,IN,prep,0
573,Juan,NNP,compound,1
574,Carlos,NNP,pobj,1
575,How,WRB,advmod,0
576,many,JJ,amod,0
577,employees,NNS,dobj,1
578,does,VBZ,aux,0
579,Google,NNP,nsubj,1
580,have,VB,ROOT,0
581,Did,VBD,aux,0
582,Tesla,NNP,nsubj,1
583,win,VB,ROOT,0
584,nobel,NN,compound,1
585,prize,NN,dobj,1
586,in,IN,prep,0
587,physics,NN,pobj,1
588,Give,VB,ROOT,0
589,me,PRP,dative,0
590,all,DT,det,0
591,cities,NNS,dobj,0
592,in,IN,prep,1
593,New,NNP,compound,1
594,Jersey,NNP,pobj,1
595,with,IN,prep,0
596,more,JJR,amod,1
597,than,IN,quantmod,1
598,100000,CD,nummod,1
599,inhabitants,NNS,pobj,1
600,Is,VBZ,ROOT,0
601,Rita,NNP,compound,1
602,Wilson,NNP,nsubj,1
603,the,DT,det,0
604,wife,NN,attr,1
605,of,IN,prep,0
606,Tom,NNP,compound,1
607,Hanks,NNP,pobj,1
608,When,WRB,advmod,0
609,was,VBD,auxpass,0
610,the,DT,det,0
611,Statue,NNP,nsubj,1
612,of,IN,prep,1
613,Liberty,NNP,pobj,1
614,built,VBD,ROOT,1
615,In,IN,prep,0
616,which,WDT,pobj,0
617,U.S,NNP,compound,1
618,state,NN,nsubj,1
619,is,VBZ,ROOT,0
620,Fort,NNP,compound,1
621,Knox,NNP,attr,1
622,located,VBN,acl,1
623,How,WRB,advmod,0
624,many,JJ,amod,0
625,children,NNS,dobj,0
626,did,VBD,aux,0
627,Benjamin,NNP,compound,1
628,Franklin,NNP,nsubj,1
629,have,VB,ROOT,0
630,When,WRB,advmod,0
631,did,VBD,aux,0
632,Michael,NNP,compound,1
633,Jackson,NNP,nsubj,1
634,die,VB,ROOT,1
635,Which,WDT,compound,0
636,Chess,NNP,compound,0
637,players,NNS,nsubj,1
638,died,VBD,ROOT,0
639,in,IN,prep,0
640,the,DT,det,0
641,same,JJ,amod,1
642,place,NN,pobj,1
643,they,PRP,nsubjpass,0
644,were,VBD,auxpass,0
645,born,VBN,relcl,1
646,in,IN,prep,0
647,List,VB,ROOT,0
648,the,DT,det,0
649,children,NNS,dobj,0
650,of,IN,prep,0
651,Margaret,NNP,compound,1
652,Thatcher,NNP,pobj,1
653,Who,WP,nsubjpass,0
654,was,VBD,auxpass,0
655,called,VBN,ROOT,1
656,Frank,NNP,oprd,1
657,The,DT,det,1
658,Tank,NNP,ROOT,1
659,Was,VBD,ROOT,0
660,Margaret,NNP,compound,1
661,Thatcher,NNP,nsubj,1
662,chemist,NN,attr,1
663,Was,VBD,ROOT,0
664,Marc,NNP,compound,1
665,Chagall,NNP,nsubj,1
666,jew,NN,npadvmod,1
667,Which,WDT,det,0
668,museum,NN,nsubj,1
669,exhibits,VBZ,ROOT,0
670,The,DT,det,0
671,Scream,NNP,ROOT,1
672,by,IN,prep,0
673,Munch,NNP,pobj,1
674,Give,VB,ROOT,0
675,me,PRP,dative,0
676,all,DT,det,0
677,books,NNS,dobj,0
678,by,IN,prep,0
679,William,NNP,compound,1
680,Goldman,NNP,pobj,1
681,with,IN,prep,0
682,more,JJR,amod,1
683,than,IN,quantmod,1
684,300,CD,nummod,1
685,pages,NNS,pobj,1
686,Which,WDT,det,0
687,books,NNS,nsubjpass,0
688,by,IN,prep,0
689,Kerouac,NNP,pobj,1
690,were,VBD,auxpass,0
691,published,VBN,ROOT,0
692,by,IN,agent,0
693,Viking,NNP,compound,1
694,Press,NNP,pobj,1
695,Give,VB,ROOT,0
696,me,PRP,dative,1
697,list,NN,dobj,0
698,of,IN,prep,0
699,all,DT,det,0
700,American,JJ,amod,1
701,inventions,NNS,pobj,0
702,How,WRB,advmod,0
703,high,JJ,acomp,1
704,is,VBZ,ROOT,0
705,the,DT,det,0
706,Mount,NNP,compound,1
707,Everest,NNP,nsubj,1
708,Who,WP,nsubj,0
709,created,VBD,ROOT,0
710,the,DT,det,0
711,comic,JJ,amod,1
712,Captain,NNP,compound,1
713,America,NNP,dobj,1
714,How,WRB,advmod,0
715,many,JJ,amod,0
716,people,NNS,nsubj,1
717,live,VBP,ROOT,1
718,in,IN,prep,0
719,the,DT,det,0
720,capital,NN,pobj,1
721,of,IN,prep,0
722,Australia,NNP,pobj,1
723,What,WP,attr,0
724,is,VBZ,ROOT,0
725,the,DT,det,0
726,largest,JJS,amod,1
727,city,NN,nsubj,1
728,in,IN,prep,0
729,Australia,NNP,pobj,1
730,Who,WP,nsubj,0
731,composed,VBD,ROOT,0
732,the,DT,det,0
733,music,NN,dobj,1
734,for,IN,prep,0
735,Harold,NNP,pobj,1
736,and,CC,cc,1
737,Maude,NNP,conj,1
738,Which,WDT,det,0
739,films,NNS,nsubj,0
740,starring,VBG,acl,1
741,Clint,NNP,compound,1
742,Eastwood,NNP,dobj,1
743,did,VBD,aux,0
744,he,PRP,nsubj,0
745,direct,VB,ROOT,1
746,himself,PRP,dobj,0
747,In,IN,prep,0
748,which,WDT,pobj,0
749,city,NN,nsubj,1
750,was,VBD,ROOT,0
751,the,DT,det,0
752,former,JJ,amod,0
753,Dutch,JJ,amod,1
754,queen,NN,attr,1
755,Juliana,NNP,nsubj,1
756,buried,VBN,relcl,0
757,Is,VBZ,ROOT,0
758,Egypts,NNS,nsubj,0
759,largest,JJS,amod,1
760,city,NN,attr,1
761,also,RB,advmod,0
762,its,PRP$,poss,0
763,capital,NN,attr,1
764,Where,WRB,advmod,0
765,is,VBZ,ROOT,1
766,the,DT,det,0
767,residence,NN,nsubj,1
768,of,IN,prep,0
769,the,DT,det,0
770,prime,JJ,amod,1
771,minister,NN,pobj,1
772,of,IN,prep,0
773,Spain,NNP,pobj,1
774,Which,WDT,det,0
775,U.S,NNP,compound,1
776,state,NN,nsubj,1
777,has,VBZ,ROOT,0
778,the,DT,det,0
779,abbreviation,NN,compound,1
780,MN,NNP,dobj,1
781,Show,VB,ROOT,0
782,me,PRP,dative,0
783,all,DT,det,0
784,songs,NNS,nsubj,0
785,from,IN,prep,0
786,Bruce,NNP,compound,1
787,Springsteen,NNP,pobj,1
788,released,VBD,ccomp,0
789,between,IN,prep,1
790,1980,CD,pobj,1
791,and,CC,cc,1
792,1990,CD,conj,1
793,Which,WDT,det,0
794,movies,NNS,nsubj,0
795,did,VBD,ROOT,0
796,Kurosawa,NNP,amod,1
797,direct,VB,ccomp,1
798,What,WP,attr,0
799,is,VBZ,ROOT,0
800,the,DT,det,0
801,founding,JJ,amod,1
802,year,NN,nsubj,1
803,of,IN,prep,0
804,the,DT,det,0
805,brewery,NN,pobj,1
806,that,WDT,nsubj,0
807,produces,VBZ,relcl,0
808,Pilsner,NNP,compound,1
809,Urquell,NNP,dobj,1
810,Who,WP,nsubj,0
811,wrote,VBD,ROOT,0
812,the,DT,det,1
813,lyrics,NNS,dobj,1
814,for,IN,prep,0
815,the,DT,det,1
816,Polish,JJ,amod,0
817,national,JJ,amod,1
818,anthem,NN,pobj,1
819,Give,VB,ROOT,0
820,me,PRP,dative,0
821,all,DT,det,0
822,sides,NNS,dobj,1
823,of,IN,prep,0
824,the,DT,det,0
825,Ramones,NNPS,pobj,1
826,Who,WP,nsubj,0
827,painted,VBD,ROOT,0
828,The,DT,det,1
829,Storm,NN,dobj,1
830,on,IN,prep,1
831,the,DT,det,1
832,Sea,NNP,pobj,1
833,of,IN,prep,1
834,Galilee,NNP,pobj,1
835,Which,WDT,det,0
836,country,NN,nsubj,1
837,does,VBZ,aux,0
838,the,DT,det,0
839,creator,NN,nsubj,1
840,of,IN,prep,0
841,Miffy,NNP,pobj,1
842,come,VBP,ROOT,0
843,from,IN,prep,0
844,For,IN,prep,0
845,which,WDT,det,0
846,label,NN,pcomp,1
847,did,VBD,aux,0
848,Elvis,NNP,nsubj,1
849,record,VB,ROOT,0
850,his,PRP$,poss,0
851,first,JJ,amod,1
852,album,NN,dobj,1
853,Give,VB,ROOT,0
854,me,PRP,dative,1
855,the,DT,det,0
856,birthdays,NNS,dobj,0
857,of,IN,prep,0
858,all,DT,det,0
859,actors,NNS,pobj,0
860,of,IN,prep,0
861,the,DT,det,0
862,television,NN,compound,1
863,show,NN,pobj,1
864,Charmed,VBN,appos,1
865,How,WRB,advmod,0
866,many,JJ,amod,0
867,employees,NNS,dobj,0
868,does,VBZ,aux,0
869,IBM,NNP,nsubj,0
870,have,VB,ROOT,0
871,Which,WDT,nsubj,0
872,states,VBZ,ROOT,0
873,border,NN,compound,1
874,Illinois,NNP,dobj,1
875,In,IN,prep,0
876,which,WDT,det,0
877,country,NN,nsubj,1
878,is,VBZ,ROOT,0
879,the,DT,det,0
880,Limerick,NNP,compound,1
881,Lake,NNP,attr,1
882,Which,WDT,det,0
883,television,NN,compound,1
884,shows,NNS,nsubjpass,0
885,were,VBD,auxpass,0
886,created,VBN,ROOT,0
887,by,IN,agent,0
888,John,NNP,compound,1
889,Cleese,NNP,pobj,1
890,Which,WDT,det,0
891,mountain,NN,nsubj,1
892,is,VBZ,ROOT,0
893,the,DT,det,0
894,highest,JJS,attr,1
895,after,IN,prep,1
896,the,DT,det,0
897,Annapurna,NNP,pobj,1
898,In,IN,prep,0
899,which,WDT,pobj,0
900,films,NNS,nsubj,0
901,directed,VBN,acl,1
902,by,IN,agent,0
903,Garry,NNP,compound,1
904,Marshall,NNP,pobj,1
