,0,1,2,3
905,was,VBD,ROOT,0
906,Julia,NNP,compound,1
907,Roberts,NNP,nsubj,1
908,starring,VBG,ccomp,1
909,Which,WDT,det,0
910,bridges,NNS,nsubj,0
911,are,VBP,ROOT,0
912,of,IN,prep,0
913,the,DT,det,0
914,same,JJ,amod,1
915,type,NN,pobj,1
916,as,IN,prep,0
917,the,DT,det,0
918,Manhattan,NNP,compound,1
919,Bridge,NNP,pobj,1
920,Was,VBD,ROOT,0
921,U.S,NNP,compound,1
922,president,NN,compound,1
923,Jackson,NNP,nsubj,1
924,involved,VBN,acomp,0
925,in,IN,prep,0
926,war,NN,pobj,1
927,Give,VB,ROOT,0
928,me,PRP,dative,0
929,all,DT,det,0
930,communist,JJ,amod,1
931,countries,NNS,dobj,1
932,Which,WDT,det,0
933,awards,NNS,dobj,0
934,did,VBD,aux,0
935,Douglas,NNP,compound,1
936,Hofstadter,NNP,nsubj,1
937,win,VB,ROOT,0
938,Who,WP,attr,0
939,is,VBZ,ROOT,0
940,the,DT,det,0
941,daughter,NN,attr,1
942,of,IN,prep,0
943,Robert,NNP,compound,1
944,Kennedy,NNP,pobj,1
945,married,VBD,acomp,1
946,to,IN,prep,0
947,Which,WDT,det,0
948,U.S,NNP,compound,0
949,state,NN,nsubj,1
950,has,VBZ,ROOT,0
951,the,DT,det,0
952,highest,JJS,amod,1
953,population,NN,compound,1
954,density,NN,dobj,1
955,What,WP,attr,0
956,is,VBZ,ROOT,0
957,the,DT,det,0
958,currency,NN,nsubj,1
959,of,IN,prep,0
960,the,DT,det,0
961,Czech,NNP,compound,1
962,Republic,NNP,pobj,0
963,Which,WDT,det,0
964,countries,NNS,nsubj,0
965,adopted,VBD,ROOT,0
966,the,DT,det,0
967,Euro,NNP,dobj,1
968,What,WP,attr,0
969,is,VBZ,ROOT,0
970,the,DT,det,0
971,area,NN,compound,1
972,code,NN,nsubj,1
973,of,IN,prep,0
974,Berlin,NNP,pobj,1
975,Which,WDT,det,0
976,countries,NNS,nsubj,0
977,have,VBP,ROOT,0
978,more,JJR,amod,1
979,than,IN,quantmod,1
980,two,CD,nummod,1
981,official,JJ,amod,1
982,languages,NNS,dobj,0
983,Who,WP,attr,0
984,is,VBZ,ROOT,0
985,the,DT,det,0
986,owner,NN,nsubj,1
987,of,IN,prep,0
988,Rolls,NNP,compound,1
989,Royce,NNP,pobj,1
990,Through,IN,prep,0
991,which,WDT,det,0
992,countries,NNS,nsubj,0
993,does,VBZ,ROOT,0
994,the,DT,det,0
995,Yenisei,NNP,compound,1
996,river,NN,compound,1
997,flow,NN,dobj,1
998,When,WRB,advmod,0
999,did,VBD,aux,0
1000,Latvia,NNP,nsubj,1
1001,join,VB,ROOT,1
1002,the,DT,det,0
1003,EU,NNP,dobj,1
1004,Which,WDT,det,0
1005,monarchs,NNS,nsubjpass,0
1006,were,VBD,auxpass,0
1007,married,VBN,ROOT,1
1008,to,IN,prep,0
1009,German,NN,pobj,1
1010,When,WRB,advmod,0
1011,was,VBD,ROOT,0
1012,the,DT,det,0
1013,Battle,NNP,nsubj,1
1014,of,IN,prep,1
1015,Gettysburg,NNP,pobj,1
1016,Which,WDT,det,0
1017,river,NN,nsubj,1
1018,does,VBZ,ROOT,0
1019,the,DT,det,0
1020,Brooklyn,NNP,compound,1
1021,Bridge,NNP,nsubj,1
1022,cross,VB,dobj,1
1023,What,WP,attr,0
1024,is,VBZ,ROOT,0
1025,the,DT,det,0
1026,highest,JJS,amod,1
1027,mountain,NN,nsubj,1
1028,in,IN,prep,1
1029,Australia,NNP,pobj,1
1030,Give,VB,ROOT,0
1031,me,PRP,dative,0
1032,all,DT,det,0
1033,soccer,NN,compound,1
1034,clubs,NNS,dobj,0
1035,in,IN,prep,1
1036,Spain,NNP,pobj,1
1037,What,WP,attr,0
1038,is,VBZ,ROOT,0
1039,the,DT,det,0
1040,official,JJ,amod,1
1041,language,NN,nsubj,1
1042,of,IN,prep,1
1043,Suriname,NNP,pobj,1
1044,Who,WP,attr,0
1045,is,VBZ,ROOT,0
1046,the,DT,det,0
1047,mayor,NN,attr,1
1048,of,IN,prep,0
1049,Tel,NNP,compound,1
1050,Aviv,NNP,pobj,1
1051,Who,WP,nsubj,0
1052,designed,VBD,ROOT,0
1053,the,DT,det,0
1054,Brooklyn,NNP,compound,1
1055,Bridge,NNP,dobj,1
1056,Which,WDT,det,0
1057,telecommunications,NN,compound,1
1058,organizations,NNS,nsubjpass,0
1059,are,VBP,auxpass,0
1060,located,VBN,ROOT,1
1061,in,IN,prep,0
1062,Belgium,NNP,pobj,1
1063,Is,VBZ,ROOT,0
1064,Frank,NNP,compound,1
1065,Herbert,NNP,nsubj,1
1066,still,RB,advmod,0
1067,alive,JJ,acomp,1
1068,What,WP,attr,0
1069,is,VBZ,ROOT,0
1070,the,DT,det,0
1071,highest,JJS,amod,1
1072,place,NN,nsubj,1
1073,of,IN,prep,0
1074,the,DT,det,0
1075,Urals,NNS,pobj,1
1076,Who,WP,attr,0
1077,is,VBZ,ROOT,0
1078,the,DT,det,0
1079,editor,NN,nsubj,1
1080,of,IN,prep,0
1081,Forbes,NNP,pobj,1
1082,Give,VB,ROOT,0
1083,me,PRP,dative,0
1084,all,DT,det,0
1085,companies,NNS,dobj,0
1086,in,IN,prep,1
1087,the,DT,det,0
1088,advertising,NN,compound,1
1089,industry,NN,pobj,1
1090,How,WRB,advmod,0
1091,many,JJ,amod,0
1092,countries,NNS,nsubj,1
1093,are,VBP,ROOT,0
1094,there,RB,advmod,0
1095,in,IN,prep,0
1096,Europe,NNP,pobj,1
1097,What,WP,pobj,0
1098,did,VBD,aux,0
1099,Bruce,NNP,compound,1
1100,Carver,NNP,nsubj,1
1101,die,VB,ROOT,1
1102,from,IN,prep,0
1103,Give,VB,ROOT,0
1104,me,PRP,dative,0
1105,all,DT,det,0
1106,libraries,NNS,dobj,1
1107,established,VBN,acl,1
1108,earlier,RBR,advmod,1
1109,than,IN,prep,1
1110,1400,CD,pobj,1
1111,Which,WDT,det,0
1112,presidents,NNS,nsubjpass,0
1113,were,VBD,auxpass,0
1114,born,VBN,ROOT,1
1115,in,IN,prep,0
1116,1945,CD,pobj,1
1117,Give,VB,ROOT,0
1118,me,PRP,dative,0
1119,all,DT,det,0
1120,federal,JJ,amod,1
1121,chancellors,NNS,dobj,1
1122,of,IN,prep,0
1123,Germany,NNP,pobj,1
1124,Who,WP,attr,0
1125,was,VBD,ROOT,0
1126,the,DT,det,0
1127,wife,NN,nsubj,1
1128,of,IN,prep,0
1129,U.S,NNP,compound,1
1130,president,NN,compound,1
1131,Lincoln,NNP,pobj,1
1132,Who,WP,nsubj,0
1133,developed,VBD,ROOT,0
1134,the,DT,det,0
1135,video,NN,compound,1
1136,game,NN,compound,1
1137,World,NNP,dobj,1
1138,of,IN,prep,1
1139,Warcraft,NNP,pobj,1
1140,What,WP,attr,0
1141,is,VBZ,ROOT,1
1142,the,DT,det,0
1143,official,JJ,amod,1
1144,website,NN,nsubj,1
1145,of,IN,prep,1
1146,Tom,NNP,compound,1
1147,Cruise,NNP,pobj,1
1148,List,VB,nsubj,0
1149,all,DT,det,0
1150,episodes,NNS,ROOT,0
1151,of,IN,prep,0
1152,the,DT,det,0
1153,first,JJ,amod,1
1154,season,NN,pobj,1
1155,of,IN,prep,0
1156,the,DT,det,0
1157,HBO,NNP,compound,1
1158,television,NN,compound,1
1159,series,NN,pobj,1
1160,The,DT,det,0
1161,Sopranos,NNP,appos,1
1162,Who,WP,nsubj,0
1163,produced,VBD,ROOT,1
1164,the,DT,det,0
1165,most,JJS,amod,1
1166,films,NNS,dobj,0
1167,Give,VB,ROOT,0
1168,me,PRP,dative,1
1169,all,DT,det,0
1170,people,NNS,dobj,0
1171,with,IN,prep,0
1172,first,JJ,amod,1
1173,name,NN,pobj,1
1174,Jimmy,NNP,appos,1
1175,In,IN,prep,0
1176,which,WDT,pobj,0
1177,city,NN,nsubj,1
1178,did,VBD,aux,0
1179,John,NNP,compound,1
1180,Kennedy,NNP,nsubj,1
1181,die,VB,ROOT,1
1182,Is,VBZ,ROOT,0
1183,there,EX,expl,0
1184,video,NN,compound,1
1185,game,NN,attr,1
1186,called,VBN,acl,0
1187,Battle,NNP,compound,1
1188,Chess,NNP,oprd,1
1189,Which,WDT,det,0
1190,mountains,NNS,nsubj,0
1191,are,VBP,ROOT,0
1192,higher,JJR,acomp,1
1193,than,IN,prep,0
1194,the,DT,det,0
1195,Nanga,NNP,compound,1
1196,Parbat,NNP,pobj,1
1197,Who,WP,nsubj,0
1198,created,VBD,ROOT,1
1199,Wikipedia,NNP,dobj,1
1200,Give,VB,ROOT,0
1201,me,PRP,dative,0
1202,all,DT,det,0
1203,actors,NNS,dobj,0
1204,starring,VBG,acl,1
1205,in,IN,prep,1
1206,Last,JJ,amod,1
1207,Action,NNP,compound,1
1208,Hero,NNP,pobj,1
1209,Which,WDT,det,0
1210,software,NN,nsubjpass,1
1211,has,VBZ,aux,0
1212,been,VBN,auxpass,0
1213,developed,VBN,ROOT,0
1214,by,IN,agent,0
1215,organizations,NNS,pobj,0
1216,founded,VBN,acl,1
1217,in,IN,prep,0
1218,California,NNP,pobj,1
1219,Which,WDT,det,0
1220,companies,NNS,nsubj,0
1221,work,VBP,ROOT,0
1222,in,IN,prep,1
1223,the,DT,det,0
1224,aerospace,NN,compound,1
1225,industry,NN,pobj,1
1226,as,RB,advmod,0
1227,well,RB,advmod,0
1228,as,IN,cc,0
1229,in,IN,prep,1
1230,medicine,NN,pobj,1
1231,Is,VBZ,ROOT,0
1232,Christian,NNP,compound,1
1233,Bale,NNP,nsubj,1
1234,starring,VBG,acl,1
1235,in,IN,prep,1
1236,Velvet,NNP,compound,1
1237,Goldmine,NNP,pobj,1
1238,Give,VB,ROOT,0
1239,me,PRP,dative,0
1240,the,DT,det,0
1241,websites,NNS,dobj,0
1242,of,IN,prep,0
1243,companies,NNS,pobj,0
1244,with,IN,prep,0
1245,more,JJR,amod,1
1246,than,IN,quantmod,1
1247,500000,CD,nummod,1
1248,employees,NNS,pobj,0
1249,Which,WDT,det,0
1250,actors,NNS,nsubjpass,0
1251,were,VBD,auxpass,0
1252,born,VBN,ROOT,1
1253,in,IN,prep,0
1254,Germany,NNP,pobj,1
1255,Which,WDT,nsubj,0
1256,caves,NNS,nsubj,0
1257,have,VBP,ROOT,0
1258,more,JJR,amod,1
1259,than,IN,quantmod,1
1260,entrances,NNS,dobj,0
1261,Was,VBD,aux,0
1262,the,DT,det,0
1263,wife,NN,nsubj,1
1264,of,IN,prep,0
1265,president,NN,compound,1
1266,Lincoln,NNP,pobj,1
1267,called,VBD,ROOT,1
1268,Mary,NNP,dobj,1
1269,Give,VB,ROOT,0
1270,me,PRP,dative,0
1271,all,DT,det,0
1272,films,NNS,dobj,0
1273,produced,VBN,acl,0
1274,by,IN,agent,0
1275,Hal,NNP,compound,1
1276,Roach,NNP,pobj,1
1277,Give,VB,ROOT,0
1278,me,PRP,dative,1
1279,all,DT,det,0
1280,video,NN,compound,1
1281,games,NNS,dobj,0
1282,published,VBN,acl,0
1283,by,IN,agent,0
1284,Mean,NNP,compound,1
1285,Hamster,NNP,compound,1
1286,Software,NNP,pobj,1
1287,Which,WDT,det,0
1288,languages,NNS,nsubjpass,0
1289,are,VBP,auxpass,0
1290,spoken,VBN,ROOT,1
1291,in,IN,prep,0
1292,Estonia,NNP,pobj,1
1293,How,WRB,advmod,0
1294,many,JJ,amod,0
1295,Aldi,NNP,compound,1
1296,stores,NNS,nsubj,0
1297,are,VBP,ROOT,0
1298,there,RB,advmod,0
1299,Which,WDT,det,0
1300,capitals,NNS,nsubj,0
1301,in,IN,prep,0
1302,Europe,NNP,pobj,1
1303,were,VBD,ROOT,0
1304,host,NN,compound,1
1305,cities,NNS,attr,0
1306,of,IN,prep,0
1307,the,DT,det,0
1308,summer,NN,nmod,1
1309,olympic,JJ,amod,1
1310,games,NNS,pobj,1
1311,Who,WP,attr,0
1312,was,VBD,ROOT,0
1313,the,DT,det,0
1314,16th,JJ,amod,1
1315,president,NN,attr,1
1316,of,IN,prep,0
1317,the,DT,det,0
1318,United,NNP,compound,1
1319,States,NNP,pobj,1
1320,How,WRB,advmod,0
1321,many,JJ,amod,0
1322,films,NNS,dobj,0
1323,did,VBD,aux,0
1324,Hal,NNP,compound,1
1325,Roach,NNP,compound,1
1326,produce,VB,ROOT,1
1327,Which,WDT,det,0
1328,music,NN,compound,1
1329,albums,NNS,nsubj,0
1330,contain,VBP,ROOT,0
1331,the,DT,det,0
1332,song,NN,dobj,1
1333,Last,JJ,amod,1
1334,Christmas,NNP,npadvmod,1
1335,Give,VB,ROOT,0
1336,me,PRP,dative,0
1337,all,DT,det,0
1338,books,NNS,dobj,0
1339,written,VBN,acl,1
1340,by,IN,agent,0
1341,Danielle,NNP,compound,1
1342,Steel,NNP,pobj,1
1343,Which,WDT,det,0
1344,airports,NNS,nsubjpass,0
1345,are,VBP,auxpass,0
1346,located,VBN,ROOT,1
1347,in,IN,prep,0
1348,California,NNP,pobj,1
1349,USA,NNP,appos,1
1350,Which,WDT,det,0
1351,states,NNS,nsubjpass,0
1352,of,IN,prep,0
1353,Germany,NNP,pobj,1
1354,are,VBP,auxpass,0
1355,governed,VBN,ROOT,0
1356,by,IN,agent,0
1357,the,DT,det,0
1358,Social,NNP,compound,1
1359,Democratic,NNP,compound,1
1360,Party,NNP,pobj,1
1361,Give,VB,ROOT,0
1362,me,PRP,dative,0
1363,all,DT,det,0
1364,Canadian,JJ,amod,1
1365,Grunge,NNP,compound,1
1366,record,NN,compound,1
1367,labels,NNS,dobj,0
1368,Which,WDT,det,0
1369,country,NN,nsubj,1
1370,has,VBZ,ROOT,0
1371,the,DT,det,0
1372,most,RBS,advmod,1
1373,official,JJ,amod,1
1374,languages,NNS,dobj,0
1375,In,IN,prep,0
1376,which,WDT,pobj,0
1377,programming,NN,compound,1
1378,language,NN,nsubj,1
1379,is,VBZ,auxpass,0
1380,GIMP,NNP,nsubj,1
1381,written,VBN,ROOT,0
1382,Who,WP,nsubj,0
1383,produced,VBD,ROOT,0
1384,films,NNS,dobj,0
1385,starring,VBG,acl,1
1386,Natalie,NNP,compound,1
1387,Portman,NNP,dobj,1
1388,Give,VB,ROOT,0
1389,me,PRP,dative,0
1390,all,DT,det,0
1391,movies,NNS,dobj,0
1392,with,IN,prep,0
1393,Tom,NNP,compound,1
1394,Cruise,NNP,pobj,1
1395,In,IN,prep,0
1396,which,WDT,pobj,0
1397,films,NNS,nsubj,0
1398,did,VBD,aux,0
1399,Julia,NNP,compound,1
1400,Roberts,NNP,nsubj,1
1401,as,RB,advmod,0
1402,well,RB,advmod,0
1403,as,IN,cc,0
1404,Richard,NNP,compound,1
1405,Gere,NNP,nsubj,1
1406,play,VB,ROOT,1
1407,Give,VB,ROOT,0
1408,me,PRP,dative,1
1409,all,DT,det,0
1410,female,JJ,dobj,1
1411,given,VBN,prep,1
1412,names,NNS,pobj,0
1413,Who,WP,nsubj,0
1414,wrote,VBD,ROOT,1
1415,the,DT,det,1
1416,book,NN,dobj,1
1417,The,DT,det,1
1418,Pillars,NNPS,appos,0
1419,of,IN,prep,1
1420,the,DT,det,1
1421,Earth,NNP,pobj,1
1422,How,WRB,advmod,0
1423,many,JJ,amod,0
1424,films,NNS,nsubj,0
1425,did,VBD,aux,0
1426,Leonardo,NNP,compound,1
1427,DiCaprio,NNP,compound,1
1428,star,NN,ROOT,1
1429,in,RB,prep,0
1430,Give,VB,ROOT,0
1431,me,PRP,dative,0
1432,all,DT,det,0
1433,soccer,NN,compound,1
1434,clubs,NNS,dobj,0
1435,in,IN,prep,0
1436,the,DT,det,0
1437,Premier,NNP,compound,1
1438,League,NNP,pobj,1
1439,In,IN,prep,0
1440,which,WDT,pobj,0
1441,U.S,NNP,compound,1
1442,state,NN,nsubj,1
1443,is,VBZ,ROOT,0
1444,Mount,NNP,compound,1
1445,McKinley,NNP,attr,1
1446,located,VBN,acl,1
1447,When,WRB,advmod,0
1448,was,VBD,auxpass,0
1449,Capcom,NNP,nsubj,1
1450,founded,VBN,ROOT,1
1451,Which,WDT,det,0
1452,organizations,NNS,nsubjpass,0
1453,were,VBD,auxpass,0
1454,founded,VBN,ROOT,1
1455,in,IN,prep,0
1456,1930,CD,pobj,1
1457,What,WP,attr,0
1458,is,VBZ,ROOT,0
1459,the,DT,det,0
1460,highest,JJS,amod,1
1461,mountain,NN,nsubj,1
1462,Was,VBD,ROOT,0
1463,Natalie,NNP,compound,1
1464,Portman,NNP,nsubj,1
1465,born,VBN,acl,1
1466,in,IN,prep,0
1467,the,DT,det,0
1468,United,NNP,compound,1
1469,States,NNP,pobj,1
1470,Which,WDT,det,0
1471,budget,NN,nsubj,1
1472,did,VBD,aux,0
1473,the,DT,det,0
1474,first,JJ,amod,1
1475,movie,NN,nsubj,1
1476,of,IN,prep,0
1477,Zdenek,NNP,compound,1
1478,Sverak,NNP,pobj,1
1479,have,VBP,ROOT,0
1480,How,WRB,advmod,0
1481,many,JJ,amod,0
1482,big,JJ,amod,0
1483,fires,NNS,nsubj,0
1484,struck,VBD,ROOT,0
1485,Paris,NNP,dobj,1
1486,during,IN,prep,0
1487,the,DT,det,0
1488,Middle,NNP,compound,0
1489,Ages,NNPS,pobj,0
1490,Is,VBZ,ROOT,0
1491,Pamela,NNP,compound,1
1492,Anderson,NNP,nsubj,1
1493,vegan,NN,attr,1
1494,How,WRB,advmod,0
1495,often,RB,advmod,0
1496,was,VBD,auxpass,0
1497,Michael,NNP,compound,1
1498,Jordan,NNP,nsubj,1
1499,divorced,VBD,ROOT,1
1500,What,WP,attr,0
1501,is,VBZ,ROOT,0
1502,the,DT,det,0
1503,most,RBS,advmod,1
1504,beautiful,JJ,amod,1
1505,painting,NN,nsubj,1
1506,Give,VB,ROOT,0
1507,me,PRP,dative,0
1508,all,DT,det,0
1509,animal,NN,compound,1
1510,species,NNS,dobj,1
1511,that,WDT,nsubj,0
1512,live,VBP,relcl,0
1513,in,IN,prep,1
1514,the,DT,det,0
1515,Amazon,NNP,compound,1
1516,rainforest,NN,pobj,1
1517,How,WRB,advmod,0
1518,many,JJ,amod,0
1519,inhabitants,NNS,nsubj,1
1520,does,VBZ,aux,0
1521,the,DT,det,0
1522,largest,JJS,amod,1
1523,city,NN,nsubj,1
1524,in,IN,prep,1
1525,Canada,NNP,pobj,1
1526,have,VBP,ROOT,0
1527,In,IN,prep,0
1528,which,WDT,det,0
1529,studio,NN,pcomp,1
1530,did,VBD,aux,0
1531,the,DT,det,0
1532,Beatles,NNP,nsubj,1
1533,record,VB,ROOT,1
1534,their,PRP$,poss,0
1535,first,JJ,amod,1
1536,album,NN,dobj,1
1537,Who,WP,attr,0
1538,was,VBD,ROOT,0
1539,the,DT,det,0
1540,first,JJ,attr,1
1541,to,TO,aux,0
1542,climb,VB,relcl,1
1543,Mount,NNP,compound,0
1544,Everest,NNP,dobj,1
1545,How,WRB,advmod,0
1546,many,JJ,amod,1
1547,programming,NN,compound,1
1548,languages,NNS,nsubj,1
1549,are,VBP,ROOT,0
1550,there,RB,advmod,0
1551,What,WP,attr,0
1552,is,VBZ,ROOT,0
1553,the,DT,det,0
1554,official,JJ,amod,1
1555,color,NN,nsubj,1
1556,of,IN,prep,1
1557,the,DT,det,0
1558,University,NNP,pobj,1
1559,of,IN,prep,1
1560,Oxford,NNP,pobj,1
1561,How,WRB,advmod,0
1562,many,JJ,amod,0
1563,gold,NN,compound,1
1564,medals,NNS,nsubj,1
1565,did,VBD,ROOT,0
1566,Michael,NNP,compound,1
1567,Phelps,NNP,nsubj,1
1568,win,VB,ccomp,0
1569,at,IN,prep,0
1570,the,DT,det,0
1571,2008,CD,nummod,1
1572,Olympics,NNPS,pobj,0
1573,To,TO,prep,0
1574,which,WDT,det,0
1575,artistic,JJ,amod,1
1576,movement,NN,pcomp,1
1577,did,VBD,ROOT,0
1578,the,DT,det,0
1579,painter,NN,dobj,1
1580,of,IN,prep,0
1581,The,DT,det,1
1582,Three,NNP,compound,1
1583,Dancers,NNPS,pobj,1
1584,belong,VBP,advcl,0
1585,Give,VB,ROOT,0
1586,me,PRP,dative,0
1587,all,DT,det,0
1588,animals,NNS,dobj,0
1589,that,WDT,nsubj,0
1590,are,VBP,relcl,0
1591,extinct,JJ,acomp,1
1592,Does,VBZ,aux,0
1593,Abraham,NNP,compound,1
1594,Lincoln,NNP,poss,1
1595,'s,POS,case,0
1596,death,NN,compound,1
1597,place,NN,nsubj,1
1598,have,VBP,ROOT,0
1599,website,NN,dobj,1
1600,How,WRB,advmod,0
1601,deep,JJ,acomp,0
1602,is,VBZ,ROOT,0
1603,Lake,NNP,compound,1
1604,Placid,NNP,nsubj,1
1605,Give,VB,ROOT,0
1606,me,PRP,dative,0
1607,the,DT,det,0
1608,grandchildren,NNS,dobj,1
1609,of,IN,prep,0
1610,Bruce,NNP,compound,1
1611,Lee,NNP,pobj,1
1612,Who,WP,attr,0
1613,is,VBZ,ROOT,0
1614,the,DT,det,0
1615,youngest,JJS,amod,1
1616,Darts,JJ,compound,1
1617,player,NN,nsubj,1
1618,Where,WRB,advmod,0
1619,was,VBD,auxpass,0
1620,Bach,NNP,nsubjpass,1
1621,born,VBN,ROOT,0
1622,In,IN,prep,0
1623,which,WDT,det,0
1624,countries,NNS,pcomp,1
1625,can,MD,aux,1
1626,you,PRP,nsubj,0
1627,pay,VB,ROOT,1
1628,using,VBG,xcomp,0
1629,the,DT,det,0
1630,West,JJ,amod,1
1631,African,JJ,amod,1
1632,CFA,NNP,compound,1
1633,franc,NN,dobj,1
1634,What,WP,attr,0
1635,are,VBP,ROOT,0
1636,the,DT,det,0
1637,top-10,CD,compound,1
1638,action,NN,compound,1
1639,role,NN,npadvmod,1
1640,playing,VBG,amod,1
1641,video,NN,compound,0
1642,games,NNS,nsubj,1
1643,according,VBG,prep,0
1644,to,IN,prep,1
1645,IGN,NNP,pobj,1
1646,What,WP,attr,0
1647,is,VBZ,ROOT,0
1648,the,DT,det,0
1649,most,RBS,advmod,1
1650,frequent,JJ,amod,1
1651,cause,NN,nsubj,1
1652,of,IN,prep,1
1653,death,NN,pobj,1
1654,Does,VBZ,aux,0
1655,the,DT,det,0
1656,Isar,NNP,nsubj,1
1657,flow,NN,ROOT,1
1658,into,IN,prep,0
1659,lake,NN,pobj,1
1660,Give,VB,ROOT,0
1661,me,PRP,dative,0
1662,all,DT,det,0
1663,films,NNS,dobj,1
1664,produced,VBN,acl,0
1665,by,IN,agent,0
1666,Steven,NNP,compound,1
1667,Spielberg,NNP,pobj,1
1668,with,IN,prep,0
1669,budget,NN,pobj,1
1670,of,IN,prep,0
1671,at,RB,advmod,0
1672,least,RBS,advmod,0
1673,80,CD,compound,1
1674,million,CD,pobj,1
1675,Give,VB,ROOT,0
1676,me,PRP,dative,0
1677,all,DT,det,0
1678,writers,NNS,dobj,0
1679,that,WDT,nsubj,0
1680,won,VBD,relcl,0
1681,the,DT,det,0
1682,Nobel,NNP,compound,1
1683,Prize,NNP,dobj,1
1684,in,IN,prep,1
1685,literature,NN,pobj,1
1686,Give,VB,ROOT,0
1687,me,PRP,dative,0
1688,all,DT,det,0
1689,taikonauts,NNS,dobj,1
1690,How,WRB,advmod,0
1691,many,JJ,amod,1
1692,pages,NNS,nsubj,1
1693,does,VBZ,aux,0
1694,War,NNP,nsubj,1
1695,and,CC,cc,1
1696,Peace,NNP,conj,1
1697,have,VBP,ROOT,0
1698,What,WP,attr,0
1699,is,VBZ,ROOT,0
1700,the,DT,det,0
1701,bridge,NN,nsubj,1
1702,with,IN,prep,0
1703,the,DT,det,0
1704,longest,JJS,amod,1
1705,span,NN,pobj,1
1706,Give,VB,ROOT,0
1707,me,PRP,dative,0
1708,all,DT,det,1
1709,actors,NNS,dobj,1
1710,called,VBD,acl,1
1711,Baldwin,NNP,oprd,1
1712,Who,WP,attr,0
1713,is,VBZ,ROOT,0
1714,the,DT,det,0
1715,tallest,JJS,amod,1
1716,player,NN,attr,1
1717,of,IN,prep,0
1718,the,DT,det,0
1719,Atlanta,NNP,compound,1
1720,Falcons,NNPS,pobj,1
1721,Which,WDT,nsubj,0
1722,rivers,NNS,nsubj,1
1723,flow,VBP,ROOT,1
1724,into,IN,prep,0
1725,German,JJ,amod,1
1726,lake,NN,pobj,1
1727,How,WRB,advmod,0
1728,many,JJ,amod,1
1729,James,NNP,compound,1
1730,Bond,NNP,compound,1
1731,movies,NNS,nsubj,1
1732,are,VBP,ROOT,0
1733,there,RB,advmod,0
1734,Which,WDT,det,0
1735,rockets,NNS,nsubjpass,1
1736,were,VBD,auxpass,0
1737,launched,VBN,ROOT,1
1738,from,IN,prep,0
1739,Baikonur,NNP,pobj,1
1740,Which,WDT,det,0
1741,pope,NN,nsubj,1
1742,succeeded,VBD,ROOT,0
1743,John,NNP,compound,1
1744,Paul,NNP,compound,1
1745,II,NNP,dobj,1
1746,Give,VB,ROOT,0
1747,me,PRP,dative,0
1748,all,DT,det,0
1749,Dutch,JJ,amod,1
1750,parties,NNS,dobj,0
1751,When,WRB,advmod,0
1752,is,VBZ,ROOT,0
1753,Halloween,NNP,nsubj,1
1754,Give,VB,ROOT,0
1755,me,PRP,dative,0
1756,all,DT,det,0
1757,Swedish,JJ,amod,1
1758,oceanographers,NNS,dobj,0
1759,Give,VB,ROOT,0
